TemperatureF
30.9
30.9
30.9
30.0
30.0
30.9
32.0
32.0
34.0
39.9
46.0
46.9
50.0
50.0
50.0
48.9
46.9
45.0
42.1
41.0
42.1
39.9
39.0
37.9
30.0
